Cinsiyete Göre Nüfus;;;;;
Yýl;Düzey;Toplam;Erkek;Kadýn;
2025;TÜRKÝYE;86.092.168;43.059.434;43.032.734;
2024;TÜRKÝYE;85.664.944;42.853.110;42.811.834;
2023;TÜRKÝYE;85.372.377;42.734.071;42.638.306;
2022;TÜRKÝYE;85.279.553;42.704.112;42.575.441;
2021;TÜRKÝYE;84.680.273;42.428.101;42.252.172;
2020;TÜRKÝYE;83.614.362;41.915.985;41.698.377;
2019;TÜRKÝYE;83.154.997;41.721.136;41.433.861;
2018;TÜRKÝYE;82.003.882;41.139.980;40.863.902;
2017;TÜRKÝYE;80.810.525;40.535.135;40.275.390;
2016;TÜRKÝYE;79.814.871;40.043.650;39.771.221;
2015;TÜRKÝYE;78.741.053;39.511.191;39.229.862;
2014;TÜRKÝYE;77.695.904;38.984.302;38.711.602;
2013;TÜRKÝYE;76.667.864;38.473.360;38.194.504;
2012;TÜRKÝYE;75.627.384;37.956.168;37.671.216;
2011;TÜRKÝYE;74.724.269;37.532.954;37.191.315;
2010;TÜRKÝYE;73.722.988;37.043.182;36.679.806;
2009;TÜRKÝYE;72.561.312;36.462.470;36.098.842;
2008;TÜRKÝYE;71.517.100;35.901.154;35.615.946;
2007;TÜRKÝYE;70.586.256;35.376.533;35.209.723;
2000;TÜRKÝYE;67.803.927;34.346.735;33.457.192;
1990;TÜRKÝYE;56.473.035;28.607.047;27.865.988;
1985;TÜRKÝYE;50.664.458;25.671.975;24.992.483;
1980;TÜRKÝYE;44.736.957;22.695.362;22.041.595;
1975;TÜRKÝYE;40.347.719;20.744.730;19.602.989;
1970;TÜRKÝYE;35.605.176;18.006.986;17.598.190;
1965;TÜRKÝYE;31.391.421;15.996.964;15.394.457;
1960;TÜRKÝYE;27.754.820;14.163.888;13.590.932;
1955;TÜRKÝYE;24.064.763;12.233.421;11.831.342;
1950;TÜRKÝYE;20.947.188;10.527.085;10.420.103;
1945;TÜRKÝYE;18.790.174;9.446.580;9.343.594;
1940;TÜRKÝYE;17.820.950;8.898.912;8.922.038;
1935;TÜRKÝYE;16.158.018;7.936.770;8.221.248;
1927;TÜRKÝYE;13.648.270;6.563.879;7.084.391;
Kaynak: Genel Nüfus Sayýmý sonuçlarý, 1927-2000 ve  Adrese Dayalý Nüfus Kayýt Sistemi sonuçlarý, 2007-2025;;;;;
